"vehicleid","Brand","Model","Year","N_view","N_offer","Seller_Type","Ask_Price","Sale_Price","Target"
544715,"Citroen","C3 AirCross",2022,33,68,"RAC",1050000,1066000,1
544723,"Opel","Crossland",2022,18,4,"RAC",925000,918000,1
544724,"Opel","Crossland",2022,48,2,"RAC",925000,0,2
544725,"Peugeot","2008",2022,31,1,"RAC",1225000,1213000,1
544727,"Opel","Corsa",2022,35,25,"RAC",850000,850000,1
544733,"Renault","Megane",2020,2233,36,"RAC",825000,0,4
544740,"Peugeot","2008",2023,132,7,"YETKILI SATICI",1175000,0,2
544744,"Opel","Insignia",2021,73,7,"FILO",1065000,1030000,2
544756,"Citroen","C3",2020,0,0,"Satın Alma",821590,821590,1
544761,"Opel","Astra",2017,20,60,"RAC",525000,626000,1
544765,"Renault","Megane",2021,18,54,"RAC",8e+05,780000,1
544771,"Opel","Astra",2016,40,1,"RAC",535000,530000,3
544783,"Citroen","C4 Cactus",2017,235,5,"RAC",715000,0,4
544790,"Renault","Megane",2019,50,9,"RAC",795000,789500,1
544791,"Renault","Clio",2019,38,81,"RAC",675000,630000,1
544812,"Renault","Clio",2019,41,58,"RAC",560000,581000,1
544818,"Renault","Megane",2018,287,1,"RAC",688000,688000,4
544846,"Opel","Astra",2017,23,26,"RAC",630000,634500,1
544863,"Peugeot","301",2014,72,51,"FILO",420000,442500,1
544877,"Citroen","C-Elysee",2022,120,20,"FILO",650000,640000,2
544878,"Opel","Grandland X",2021,37,7,"FILO",1050000,1020000,2
544879,"Opel","Grandland X",2021,59,8,"FILO",1050000,1020000,1
544880,"Citroen","C-Elysee",2022,34,12,"RAC",640000,0,2
544881,"Citroen","C-Elysee",2022,30,15,"RAC",640000,629300,2
544882,"Peugeot","2008",2021,43,19,"RAC",1050000,1020000,1
544914,"Renault","Clio",2022,29,10,"RAC",745000,744500,1
544916,"Citroen","C-Elysee",2023,74,21,"RAC",715000,711500,3
544917,"Renault","Clio",2022,32,14,"RAC",745000,751500,1
544922,"Renault","Clio",2022,50,16,"RAC",615000,620000,1
